Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
392,,"Jul 17, 2025","Jul 27, 2025",Complete,"139 St Closed, 109 Av closed WB",139 Street NW,109 Avenue NW,109A Avenue NW,Total Closure,11 Days,139 St will be closed at 109 Av and 109 Av will be closed WB starting East of 139 St to 139 St. Use other routes.,Drainage Repairs,Construction,Northwest,Road,POINT (-113.56137286483708 53.55438678525527)
331,,"Jun 17, 2025","Jul 15, 2025",Current,Total Closure,Austin O''Brien Road,57 Street,64 Street,Total Closure,4 Weeks,"Starting June 17, 2025 Austin O'Brien Road will be closed between 57 Street and 64 Street. Please use other routes",Drainage Install,Construction,Southeast,Road and Sidewalk,POINT (-113.42371831870904 53.53690092538892)
790,,"Sep 03, 2025","Sep 05, 2025",Current,50 St Split to East,50 Street NW,121 Avenue NW,118 Avenue NW,Travel Delays,Three Days,50 St split to the East side from South of 118 Ave to South of 121 Ave.,50 St Split to East,Construction,Northeast,Road,POINT (-113.41857448744679 53.57035036835398)
167,,"May 12, 2025","Jun 23, 2025",Complete,"76 Ave Closed, 114 St - 115 St",76 Avenue NW,114 Street NW,115 Street NW,Directional Closure,41 Days,76 Avenue will be closed to westbound traffic between 114 street and 115 street from May 12 - June 23. North bound 115 street will be closed between 76 Avenue and Alley 76 Ave from May 22 and June 23.,Waterline Installation,Construction,Central,Road,POINT (-113.52581887360502 53.512239232119036)
127,,"Apr 25, 2025","Apr 28, 2025",Complete,Terwillegar Dr NB Closure,Terwillegar Drive NW,40 Avenue NW,Whitemud Drive NW,Directional Closure,3 Nights,"April 25, 26, and 27 Nightly from 9pm - 9am. Terwillegar Dr NB will be closed at 40 Ave due to a girder erection. No Whitemud Dr access from Terwillegar Dr NB. Detour using 40ave to Riverbend Rd.",Girder Erection,Construction,Southwest,Road,POINT (-113.5708197261924 53.48248635019089)
236,,"May 24, 2025","May 27, 2025",Complete,113 St Closure,113 Street NW,100 Avenue NW,Jasper Avenue NW,Total Closure,4 Days,113 St and the east sidewalk will be closed from 100 Av to approximately 50m north. Use other routes.,Utility Construction,Construction,Central,Road and Sidewalk,POINT (-113.51578379200838 53.538848187309526)
43,,"Apr 04, 2025","Apr 06, 2025",Complete,"87 Av Reduced to 1 Lane EB, 156 Closed NB",87 Avenue NW,156 Street NW,,Travel Delays,"3 Nights, 2 Days","Starting Friday, April 4 at 9pm, 87 Av will be reduced to 1 lane EB, 1 Lane SB on 156 St and 156 St will be closed NB. Use other routes. Left turns will be banned in all directions in the intersection.",Drainage Repair,Construction,Northwest,Road,POINT (-113.5792153635038 53.52099661643206)
438,,"Jul 03, 2025","Jul 03, 2025",Complete,Filming,Queen Elizabeth Park Road,Saskatchewan Drive,Walterdale Hill,Total Closure,1 hour (12a.m. - 1a.m.),Detour using 99 Street.  Emergency Vehicle and ETS access maintained.,Filming,Special Event,Central,Road,POINT (-113.50261119765074 53.52664356273152)
627,,"Aug 13, 2025","Oct 15, 2025",Current,Single Lane Closure,104 Street NW,82 Avenue NW,80 Avenue NW,Increased Travel Time,2 Months (24/7),104 Street is reduced to two lane southbound between 82 Avenue (Whyte Avenue) and 80 Avenue.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.49757913031738 53.518075060706636)
604,,"Aug 01, 2025",,Current,113 St Southbound One-Way Conversion,113 Street NW,106 Avenue NW,111 Avenue NW,Directional Closure,Permanent Change,113 St will be converted to a permanent wouthbound one-way road. Northbound 113 St will be permanently closed.,Active Mode Installation,Construction,Central,Road,POINT (-113.51580037890547 53.55888562812375)
