Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
15965,BLUE,> 95 L/s,1998,53.62167,-113.47263,POINT (-113.47263 53.62167),EPCOR,8607 160A AVENUE NW,FAC
21187,BLUE,> 95 L/s,2012,53.52982,-113.66995,POINT (-113.669945 53.52982),EPCOR,20425 93 AVENUE NW,FAC
16987,BLACK,> 95 L/s,2002,53.42552,-113.46810,POINT (-113.468094 53.42552),EPCOR,744 88 STREET SW,FAC
27614,BLUE,> 95 L/s,2021,53.41373,-113.50488,POINT (-113.50488 53.413727),EPCOR,135 CAVANAGH COMMON SW,CCC
19329,BLUE,> 95 L/s,2007,53.42234,-113.44968,POINT (-113.449684 53.422344),EPCOR,1220 72 STREET SW,FAC
24418,BLUE,> 95 L/s,2016,53.55482,-113.54129,POINT (-113.54129 53.554817),EPCOR,10950 127 STREET NW,FAC
9623,BLUE,> 95 L/s,1990,53.49780,-113.60390,POINT (-113.603905 53.497803),EPCOR,1004 WANYANDI WAY NW,FAC
18071,BLUE,> 95 L/s,2004,53.50879,-113.48885,POINT (-113.48885 53.508793),EPCOR,7204 100 STREET NW,FAC
7353,BLUE,> 95 L/s,1973,53.61541,-113.53277,POINT (-113.53277 53.61541),EPCOR,15231 122 STREET NW,FAC
5496,BLUE,> 95 L/s,2017,53.46983,-113.47933,POINT (-113.47933 53.469833),EPCOR,3550 97 STREET NW,FAC
14059,BLACK,> 95 L/s,1989,53.48217,-113.38515,POINT (-113.385155 53.48217),EPCOR,4336 28A STREET NW,FAC
10153,BLACK,> 95 L/s,1978,53.62506,-113.53771,POINT (-113.53771 53.625065),EPCOR,776 WARWICK ROAD NW,FAC
23075,BLUE,> 95 L/s,2014,53.56657,-113.68537,POINT (-113.68537 53.56657),EPCOR,21349 115 AVENUE NW,CCC
7592,BLACK,> 95 L/s,1974,53.58730,-113.40150,POINT (-113.401505 53.587303),EPCOR,95 HARROW CIRCLE NW,FAC
888,BLUE,> 95 L/s,2012,53.51335,-113.50028,POINT (-113.50028 53.513348),EPCOR,10446 77 AVENUE NW,FAC
22922,BLUE,> 95 L/s,2014,53.57096,-113.31369,POINT (-113.3137 53.57096),EPCOR,2060 YELLOWHEAD TRAIL NE,FAC
7175,BLUE,> 95 L/s,1973,53.48591,-113.48700,POINT (-113.48701 53.48591),EPCOR,4752 99 STREET NW,FAC
5271,BLUE,> 95 L/s,2004,53.54956,-113.57888,POINT (-113.57888 53.549564),EPCOR,10600 149 STREET NW,FAC
5539,BLUE,> 95 L/s,1992,53.53624,-113.58487,POINT (-113.58487 53.536243),EPCOR,9801 153 STREET NW,FAC
